Step: 10000; loss: 2.0085639190310727; Time: 49.6620110074679 min.
Step: 20000; loss: 1.6954211813763476; Time: 45.25064089298248 min.
Step: 30000; loss: 1.6201239325573629; Time: 43.76460741758346 min.
Step: 40000; loss: 1.5790277393809544; Time: 43.84827081759771 min.
Step: 50000; loss: 1.5575195767676862; Time: 43.56554930210113 min.
Step: 60000; loss: 1.5350700573019638; Time: 42.49488856395086 min.
Step: 70000; loss: 1.5171023631962248; Time: 43.04367580413818 min.
Step: 80000; loss: 1.5015424544478304; Time: 42.60539580186208 min.
Step: 90000; loss: 1.4977787550449393; Time: 42.757020171483354 min.
Step: 100000; loss: 1.481455722741857; Time: 43.015146509806314 min.
Step: 110000; loss: 1.4793472140339268; Time: 41.58036757707596 min.
Step: 120000; loss: 1.4692124825730237; Time: 40.46258454720179 min.
Step: 130000; loss: 1.4602332269406835; Time: 39.75742303927739 min.
Step: 140000; loss: 1.4626896124859623; Time: 39.68330505688985 min.
Step: 150000; loss: 1.4537925403892917; Time: 39.841245178381605 min.
Step: 160000; loss: 1.452048714469377; Time: 40.14569529692332 min.
Step: 170000; loss: 1.4470993375273473; Time: 42.10122292836507 min.
Step: 180000; loss: 1.4433884730590318; Time: 41.395794383684795 min.
Step: 190000; loss: 1.4374210732193267; Time: 41.57826694647471 min.
Step: 200000; loss: 1.4364272723751974; Time: 41.436853007475534 min.
