Step: 10000; loss: 0.3662553780443317; Time: 54.41131794850032 min.
Step: 20000; loss: 0.3516904074655408; Time: 50.594320102532706 min.
Step: 30000; loss: 0.34786230808090934; Time: 49.696098637580874 min.
Step: 40000; loss: 0.3445468947005665; Time: 48.74919097423553 min.
Step: 50000; loss: 0.34240820985302906; Time: 48.31461720863978 min.
Step: 60000; loss: 0.3402822998056157; Time: 47.18032052119573 min.
Step: 70000; loss: 0.33878359926661245; Time: 47.386609327793124 min.
Step: 80000; loss: 0.33822488758637365; Time: 46.9450818101565 min.
Step: 90000; loss: 0.3368085958503871; Time: 46.8730727593104 min.
Step: 100000; loss: 0.33629012817297627; Time: 47.03950343529383 min.
Step: 110000; loss: 0.3357129923283194; Time: 46.733605508009596 min.
Step: 120000; loss: 0.3354054933230209; Time: 46.06162830988566 min.
Step: 130000; loss: 0.3341947462076604; Time: 43.925431203842166 min.
Step: 140000; loss: 0.3344579425819054; Time: 43.75595037937164 min.
Step: 150000; loss: 0.3345572289909545; Time: 44.0825101574262 min.
Step: 160000; loss: 0.3340213855934618; Time: 44.26313467025757 min.
Step: 170000; loss: 0.33299234232565045; Time: 44.01156775951385 min.
Step: 180000; loss: 0.3335357903431772; Time: 43.76991784572601 min.
Step: 190000; loss: 0.3330455394651368; Time: 43.9858562707901 min.
Step: 200000; loss: 0.3329648858430837; Time: 44.0409806450208 min.
