Step: 10000; loss: 0.3721781498959852; Time: 52.177245541413626 min.
Step: 20000; loss: 0.35261303816014417; Time: 46.64434593121211 min.
Step: 30000; loss: 0.3474292140700797; Time: 46.26638050079346 min.
Step: 40000; loss: 0.3443966429291918; Time: 46.42081921895345 min.
Step: 50000; loss: 0.3432958598944246; Time: 46.297950156529744 min.
Step: 60000; loss: 0.34169594130995845; Time: 45.38667370875677 min.
Step: 70000; loss: 0.340841585549821; Time: 45.54619963963827 min.
Step: 80000; loss: 0.3396375052024236; Time: 45.31127846638362 min.
Step: 90000; loss: 0.33880742837786376; Time: 45.020156908035275 min.
Step: 100000; loss: 0.3382783649237042; Time: 45.07858428955078 min.
Step: 110000; loss: 0.33780242453238546; Time: 44.76261619329453 min.
Step: 120000; loss: 0.33674704392732935; Time: 44.53415175676346 min.
Step: 130000; loss: 0.33615722278291216; Time: 43.235852762063345 min.
Step: 140000; loss: 0.3367164755033807; Time: 41.602532760302225 min.
Step: 150000; loss: 0.3357400952055917; Time: 41.64687283039093 min.
Step: 160000; loss: 0.33550011800444307; Time: 42.137494309743246 min.
Step: 170000; loss: 0.3352046802791027; Time: 42.174075996875764 min.
Step: 180000; loss: 0.33488630363340166; Time: 41.6705127954483 min.
Step: 190000; loss: 0.33458266275819176; Time: 41.73229228258133 min.
Step: 200000; loss: 0.33498802592347277; Time: 41.87741684913635 min.
